date,US 10yr bond,UK 10yr bond
2002-10-31,3.894,4.556
2002-11-01,4.006,4.599
2002-11-04,4.045,4.626
2002-11-05,4.072,4.679
2002-11-06,4.035,4.683
2002-11-07,3.894,4.6
2002-11-08,3.858,4.55
2002-11-11,3.841,4.51
2002-11-12,3.85,4.48
2002-11-13,3.841,4.5
2002-11-14,4.057,4.55
2002-11-15,4.031,4.55
2002-11-18,3.998,4.56
2002-11-19,3.979,4.54
2002-11-20,4.059,4.53
2002-11-21,4.154,4.62
2002-11-22,4.18,4.63
2002-11-25,4.176,4.64
2002-11-26,4.067,4.61
2002-11-27,4.26,4.68
2002-11-28,4.252,4.68
2002-11-29,4.207,4.68
2002-12-02,4.231,4.71
2002-12-03,4.203,4.68
2002-12-04,4.153,4.67
2002-12-05,4.139,4.618
2002-12-06,4.085,4.578
2002-12-09,4.036,4.555
2002-12-10,4.048,4.568
2002-12-11,4.025,4.557
2002-12-12,4.025,4.526
2002-12-13,4.069,4.519
2002-12-16,4.161,4.524
2002-12-17,4.126,4.541
2002-12-18,4.036,4.481
2002-12-19,3.94,4.469
2002-12-20,3.959,4.486
2002-12-23,3.973,4.476
2002-12-24,3.936,4.48
2002-12-25,3.934,4.49
2002-12-26,3.904,4.481
2002-12-27,3.81,4.401
2002-12-30,3.797,4.402
2002-12-31,3.816,4.374
2003-01-01,3.819,4.391
2003-01-02,4.032,4.455
2003-01-03,4.019,4.485
2003-01-06,4.054,4.481
2003-01-07,4.007,4.471
2003-01-08,4.019,4.424
2003-01-09,4.181,4.44
2003-01-10,4.134,4.43
2003-01-13,4.122,4.472
2003-01-14,4.079,4.465
2003-01-15,4.062,4.467
2003-01-16,4.079,4.454
2003-01-17,4.011,4.354
2003-01-20,4.017,4.337
2003-01-21,3.972,4.333
2003-01-22,3.916,4.333
2003-01-23,3.937,4.321
2003-01-24,3.93,4.233
2003-01-27,3.964,4.221
2003-01-28,3.97,4.24
2003-01-29,4.023,4.231
2003-01-30,3.963,4.287
2003-01-31,3.964,4.278
2003-02-03,3.994,4.304
2003-02-04,3.924,4.233
2003-02-05,3.997,4.242
2003-02-06,3.947,4.222
2003-02-07,3.931,4.205
2003-02-10,3.966,4.221
2003-02-11,3.959,4.202
2003-02-12,3.91,4.151
2003-02-13,3.879,4.139
2003-02-14,3.995,4.196
